Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average
AL,0,0,0,0,0,0,0,84,0,9.33
AT,75,79,81,81,82,85,89,89,90,83.44
BA,0,0,0,0,0,0,0,69,72,15.67
BE,77,78,80,83,82,85,86,87,90,83.11
BG,45,51,54,57,59,64,67,72,75,60.44
CH,0,0,0,91,0,0,93,0,96,31.11
CY,57,62,65,69,71,74,79,86,90,72.56
CZ,67,73,73,78,79,82,83,86,87,78.67
DE,83,85,88,89,90,92,93,94,95,89.89
DK,90,92,93,93,92,94,97,93,95,93.22
EA,74,76,79,81,83,85,87,89,90,82.67
EE,69,74,79,83,88,86,88,90,90,83.00
EL,50,54,56,66,68,69,71,76,79,65.44
ES,63,67,70,74,79,82,83,86,91,77.22
FI,84,87,89,90,90,92,94,94,94,90.44
FR,76,80,82,83,83,86,86,89,90,83.89
HR,61,66,65,68,77,77,76,82,81,72.56
HU,63,67,70,73,76,79,82,83,86,75.44
IE,78,81,82,82,85,87,88,89,91,84.78
IS,93,95,96,96,0,0,98,99,98,75.00
IT,62,63,69,73,75,79,81,84,85,74.56
LT,60,60,65,66,68,72,75,78,82,69.56
LU,91,93,94,96,97,97,97,93,95,94.78
LV,64,69,72,73,76,77,79,82,85,75.22
ME,0,55,0,0,0,0,71,72,74,30.22
MK,0,58,65,68,69,75,74,79,82,63.33
MT,75,77,78,80,81,81,85,84,86,80.78
NL,94,94,95,96,96,97,98,98,98,96.22
NO,92,93,94,93,97,97,97,96,98,95.22
PL,67,70,72,75,76,80,82,84,87,77.00
PT,58,61,62,65,70,74,77,79,81,69.67
RO,47,54,58,61,68,72,76,81,84,66.78
RS,0,0,0,0,64,0,68,73,80,31.67
SE,91,92,93,90,91,94,95,93,96,92.78
SI,73,74,76,77,78,78,82,87,89,79.33
SK,71,75,78,78,79,81,81,81,82,78.44
TR,0,47,49,60,70,76,81,84,88,61.67
UK,83,87,88,90,91,93,94,95,96,90.78
XK,0,0,0,0,0,0,89,93,93,30.56
